"Siempre parece más copiosa la mies del campo ajeno"|2,5|Ovidio  poeta romano
"Lo que menos se pierde en el juego es el dinero"|3,5|Samuel Rogers  dramaturgo estadounidense
"Política miserable, propia del tirano: dominar..." (Primera parte)|1,6|Antonio de Solís.  Escritor e historiador español
"... con la soberbia y contemplar con servidumbre" (Conclusión)|2,4|ANTONIO DE SOLÍS  ESCRITOR E HISTORIADOR ESPAÑOL
"Toda nuestra dignidad radica en el pensamiento"|3,5|BLAS PASCAL  MATEMÁTICO Y FILÓSOFO FRANCÉS
"Nadie guarda mejor un secreto que el que lo ignora"|3,6|Aristarco de Samos
"Las mujeres llevan siempre una segunda intención."|1,5|PHILIPPE DESTOUCHES  INTELECTUAL FRANCÉS
"La caridad no puede reemplazar a la justicia."|2,6|HENRY GEORGE  ECONOMISTA ESTADOUNIDENSE
"Nunca disfrutamos de una felicidad perfecta."|3,5|PIERRE CORNEILLE  DRAMATURGO FRANCÉS
"Al abogado es menester contarle claramente las..." (Primera parte)|1,6|MASSIMO D AZEGLIO  ESCRITOR, PINTOR Y POLÍTICO ITALIANO
"...cosas; ya se ocupará después él de embrollarlas." (Conclusión)|3,6|Massimo D´Azeglio.  Escritor, pintor y político italiano
"Los celos son la medianería entre el amor y el odio."|2,6|PHILIBERT COMMERSON  NATURALISTA FRANCÉS
"Sólo los hombres grandes tienen grandes defectos"|3,5|Francisco de la Rochefoucauld. autor y moralista francés
"Un hermano es un amigo dado por la naturaleza." (Conclusión)|1,5|Jean Baptiste Legouvé
"En cada hombre hay un poco de todos los hombres."|2,5|GEORGE C. LICHTENBERG
"¡Cuantas personas han pensado suicidarse y luego..." (Primera parte)|1,6|JULES RENARD  LITERATO FRANCÉS
"... se han contentado con romper una fotografía." (Conclusión)|2,7|JULES RENARD  LITERATO FRANCÉS
"El buen nombre vale más que las grandes riquezas"|3,6|Salomón.  Rey de Israel
"La palabra es el vehículo de la inteligencia" (Conclusión)|3,6|Benjamín Constant  filósofo, escritor y político francés
"El ejemplo es el más notable de los seductores."|1,5|COLLIN D’HARLEVILLE  POETA DRAMÁTICO FRANCÉS
"De grande subida resulta siempre grande caída"|3,6|EPICURO  FILÓSOFO GRIEGO
"Cuando la ocasión te es propicia, no la abandones."|4,7|Marco Porcio Catón.  Estadista, militar y literato romano
"No olvide nadie que la nobleza sin virtudes es luz..." (Primera parte)|1,6|Severo Catalina.  Escritor español
"... que alumbra más y más los defectos de quien la posee." (Conclusión)|2,4|SEVERO CATALINA  ESCRITOR ESPAÑOL
"La palabra es el vehículo de la inteligencia"|3,6|BENJAMÍN CONSTANT  FILÓSOFO, ESCRITOR Y POLÍTICO FRANCÉS
"La finalidad del hombre superior es la verdad"|2,5|CONFUCIO  FILÓSOFO CHINO
"El amor propio es el más grande de los aduladores"|2,4|Francisco de la Rochefoucauld. autor y moralista francés
"Una mujer apasionada es una heroína que nada teme."|2,6|HERNANDO DEL PULGAR  HUMANISTA E HISTORIADOR ESPAÑOL
"Sólo el médico y el dramaturgo gozan del raro..." (Primera parte)|1,5|SANTIAGO RAMÓN Y CAJAL  HISTÓLOGO ESPAÑOL
"... privilegio de cobrar por las desazones que nos dan" (Conclusión)|3,5|Santiago Ramón y Cajal. Histólogo español
"El hombre vale tanto cuanto el mismo se estima."|2,6|FRANCISCO RABELAIS  ESCRITOR FRANCÉS
"Demasiada satisfacción de si mismo es necedad"|3,6|MME. DE SABLÉ  ESCRITORA FRANCESA
"Donde no hay amor, poned amor y encontraréis amor"|1,5|Santa Teresa de Jesús.  Religiosa, mística y escritora española
"Si hablan mal de ti y son embusteros, ríete de ellos."|2,5|Séneca. Filósofo y escritor latino
"Lágrimas se vierten que queman y dejan cicatrices"|3,6|CARMEN SILVA  PSICOANALISTA Y PERIODISTA BRASILEÑA
"Esfuérzate en ser interesante más que en ser..." (Primera parte)|1,5|VOLTAIRE  ESCRITOR Y FILÓSOFO FRANCÉS
"... preciso. Lo que menos se perdona es lo aburrido" (Conclusión)|2,5|VOLTAIRE  ESCRITOR Y FILÓSOFO FRANCÉS
"La salud no lo es todo, pero sin salud, todo es nada"|3,6|Aforismo médico
"Uno por uno somos mortales; juntos somos eternos"|2,5|LUCIO APULEYO  FILÓSOFO Y ESCRITOR LATINO
"Lo más difícil de conseguir es lo que más deseamos"|1,5|Ludovico Ariosto.  Poeta italiano
"Todos los hombres de bajo espíritu son aduladores"|3,5|Aristóteles.  Filósofo y científico griego
"Las muchas navidades muestran las verdades"|2,7|Wilhelm Bush
"Desconfía de cada momento, porque es un ladrón..." (Primera parte)|1,5|John Updiké  escritor estadounidense
"... que se marcha de puntillas con más de lo que trae" (Conclusión)|2,6|John Updiké , escritor estadounidense.
"En caso de necesidad, todas las cosas son comunes"|3,5|FRAY DOMINGO DE VALTANÁS  RELIGIOSO DOMINICO
"Con las acciones generosas se fortalece el ánimo"|2,6|CAYO VALERIO FLACO  POETA ÉPICO LATINO
"Páganse caras por la mañana las locuras de la noche"|3,5|Francis Bacon.  Pintor británico
"El que es amigo de todo el mundo no es amigo mío"|1,5|Luis Bourdaloue.  Jesuita francés
"El ocio es enemigo de todo virtuoso ejercicio."|2,5|MELCHOR CANO  FRAILE DOMINICO, TEÓLOGO Y OBISPO ESPAÑOL
"Libertad es el derecho de obedecer sólo a la ley" (Primera parte)|1,5|Emilio Castelar.  Político y escritor español
"... e igualdad el derecho de obedecer a una misma ley." (Conclusión)|3,5|EMILIO CASTELAR  POLÍTICO Y ESCRITOR ESPAÑOL
"El embustero no es creído ni cuando dice la verdad"|2,5|CICERÓN  ESCRITOR, POLÍTICO Y ORADOR ROMANO
"El que se propone vencer o morir, rara vez es vencido."|3,6|Pierre Corneille  dramaturgo francés
"No debemos aspirar a ser más de lo que podemos"|1,5|Sebastián R. N. de Chamfort.  Novelista francés
"Lo que merece ser hecho, merece que se haga bien"|2,5|Lord Chesterfield
"Soporta, sin fatiga aparente, toda inactividad"|3,6|Decálogo del holgazán
"El héroe nunca es héroe por su propio impulso"|2,5|Pío Baroja. Novelista español
"La verdad es una sola, pero el error es múltiple"|3,6|Charles Caleb Colton. Escritor inglés
"La paciencia es amarga, pero sus frutos dulces."|3,5|JUAN JACOBO ROUSSEAU  FILÓSOFO FRANCÉS
"El paisaje sólo es de quienes saben apreciarlo"|2,6|Upton Sinclair, escritor estadounidense.
"El silencio es una forma de ingenio de los necios."|1,4|Jean de La Bruyère. Ensayista y moralista francés
"Llamamos fatalidad a lo que limita nuestro poder."|3,6|Ralph W. Emerson. Ensayista y poeta estadounidense
"Fingimos lo que no somos; seamos lo que fingimos."|4,6|PEDRO CALDERÓN DE LA BARCA  DRAMATURGO Y POETA ESPAÑOL
"El recuerdo de la felicidad ya no es felicidad..." (Primera parte)|1,5|Lord Byron. Poeta inglés
"... pero el recuerdo del dolor sigue siendo dolor" (Conclusión)|3,6|Lord Byron. Poeta inglés
"La tumba de los déspotas está llena de sangre." (Conclusión)|3,6|Francisco Coppée, poeta, dramaturgo y novelista francés.
"Los peores embusteros son los propios temores."|4,7|RUDYARD KIPLING  NOVELISTA INGLÉS
"Las palabras de los sabios son oídas en silencio."|1,5|Eclesiastés  libro del antiguo testamento
"La clemencia siempre nace del valor y la victoria" (Conclusión)|2,6|Tirso de Molina. Dramaturgo, poeta y narrador español
"Más se consigue con la dulzura que con la violencia."|2,6|Jean de La Fontaine, escritor francés.
"Muchas veces se conoce mejor a los valientes..." (Primera parte)|1,5|BALDASSARE CASTIGLIONE  ESCRITOR ITALIANO
"... o animosos en los actos pequeños que en los grandes" (Conclusión)|2,5|Baldassare Castiglione , escritor italiano
"Nunca ha habido una buena guerra ni una mala paz."|3,7|Benjamín Franklin, filósofo, político y científico estadounidense.
"Las malas son esas penas que sin matar maltratan"|2,4|Ramón de Campoamor. Poeta romántico español
"Muchas veces compramos el dinero demasiado caro." (Conclusión)|1,6|William M. Thackeray. Novelista inglés
