abacero|a-ba-ce-ro|Persona que tiene por oficio vender aceite, vinagre, legumbres secas, etc.;;;
abacial|a-ba-cial|Perteneciente o relativo al abad, a la abadesa o a la abadía;;;
ábaco|á-ba-co|Todo instrumento que sirve para efectuar manualmente cálculos aritméticos mediante marcadores deslizables;;;
abacómite|a-ba-có-mi-te|Persona del séquito de un potentado;;;
abacote|a-ba-co-te|Corona doble y sin adornos usada antiguamente por los reyes ingleses;;;
abáculo|a-bá-cu-lo|Cubo o cuadrito de cristal, que imita una o varias piedras de colores diferentes;;;
abad|a-bad|Superior de un monasterio con facultad de conferir órdenes menores a sus monjes;;;
abadejo|a-ba-de-jo|Pez marino de cuerpo alargado, mandíbula prominente, color pardo oliva y hasta 10 kg. de peso, parecido al bacalao;;;
abadejo|a-ba-de-jo|Pez marino teleósteo gadiforme de cuerpo alargado, color pardo oliva y hasta 10 kg. de peso, parecido al bacalao;;;
abadejo|a-ba-de-jo|Pez marino teleósteo gadiforme de cuerpo alargado, mandíbula prominente, color pardo oliva y hasta 10 kg de peso, parecido al bacalao;;;
abadejo|a-ba-de-jo|Pez marino teleósteo gadiforme de cuerpo alargado, mandíbula prominente, color pardo oliva y hasta 10 kg. de peso, parecido al bacalao;;;
abadengo|a-ba-den-go|Perteneciente o relativo a la dignidad o jurisdicción del abad;;;
abadesa|a-ba-de-sa|Superiora en ciertos monasterios de religiosas;;;
abadía|a-ba-dí-a|Iglesia o monasterio regido por un abad o abadesa;;;
abalanzar|a-ba-lan-zar|Lanzarse, arrojarse en dirección a alguien o algo;;;
abalizado|a-ba-li-za-do|Señalado con balizas;;;
abalizar|a-ba-li-zar|Señalar con balizas las pistas de los aeropuertos y aeródromos, o las desviaciones en las carreteras;;;
abalorio|a-ba-lo-rio|Cuentecilla de vidrio agujereada con que se hacen adornos y labores;;;
abalorios|a-ba-lo-rios|Pequeños objetos, normalmente redondos y perforados, que se pueden ensartar en forma de collares o brazaletes;;;
abalorios|a-ba-lo-rios|Pequeños objetos, normalmente redondos y perforados, que se pueden ensartar en forma de collares o pulseras;;;
abanderar|a-ban-de-rar|Matricular bajo la bandera de un Estado un buque extranjero;;;
abandona|a-ban-do-na|Deja desamparada a una persona o cosa;;;
abandonar|a-ban-do-nar|Dejar desamparada a una persona o cosa;;;
abandono|a-ban-do-no|Desaliño, negligencia, etc.;;;
abanicar|a-ba-ni-car|Hacer aire con el abanico;;;
abanico|a-ba-ni-co|Instrumento empleado para mover el aire próximo y aliviar la sensación de calor;;;
abaniqueo|a-ba-ni-que-o|Fig. Acción de mover exageradamente las manos;;;
abarajar|a-ba-ra-jar|Argent., Parag., Urug. Recoger una cosa en el aire;;;
abaratar|a-ba-ra-tar|Disminuir o bajar el precio de una cosa;;;
abarca|a-bar-ca|Toma uno a su cargo muchas cosas a un tiempo;;;
abarcar|a-bar-car|Tomar uno a su cargo muchas cosas a un tiempo;;;
abarcón|a-bar-cón|En los coches antiguos, aro de hierro que afianzaba la lanza dentro de la punta de la tijera;;;
abarloar|a-bar-lo-ar|Situar un buque de costado casi en contacto con otro buque o con un muelle, etc.;;;
abarquero|a-bar-que-ro|Persona que tiene por oficio hacer o vender abarcas;;;
abarrotar|a-ba-rro-tar|Atestar de personas o cosas un local;;;
abarse|a-bar-se|Apartarse, quitarse del paso;;;
abastece|a-bas-te-ce|Provee, aprovisiona;;;
abastecer|a-bas-te-cer|Proveer, aprovisionar;;;
abastero|a-bas-te-ro|Chile. Comprador de reses vivas, destinadas al matadero;;;
abasto|a-bas-to|Provisión de víveres;;;
abatatado|a-ba-ta-ta-do|R. de la Plata. Abatido, avergonzado;;;
abatatar|a-ba-ta-tar|Turbar, apocar, confundir;;;
abate|a-ba-te|Clérigo extranjero, especialmente italiano o francés;;;
abatible|a-ba-ti-ble|Que se puede derribar o echar por tierra;;;
abatibles|a-ba-ti-bles|Que se pueden derribar o echar por tierra;;;
abatido|a-ba-ti-do|Que ha perdido el ánimo, las fuerzas;;;
abatismo|a-ba-tis-mo|Poder de los abates o conjunto de abates;;;
abdicar|ab-di-car|Renunciar una dignidad soberana;;;
abdomen|ab-do-men|Vientre, barriga, panza;;;
abducción|ab-duc-ción|Fil. Silogismo cuya premisa mayor es evidente y la menor menos evidente o solo probable;;;
abducción|ab-duc-ción|Movimiento por el cual un miembro u otro órgano se aleja del plano medio que divide imaginariamente el cuerpo en dos partes simétricas;;;
abducir|ab-du-cir|Razonar por abducción o con abducción;;;
abedul|a-be-dul|Árbol betuláceo de las altas montañas, de corteza plateada, ramas flexibles y colgantes y hojas alternas aovadas;;;
abedules|a-be-du-les|Árboles betuláceos de las altas montañas, de corteza plateada, ramas flexibles y colgantes, hojas alternas aovadas, y fruto en sámaras;;;
abeja|a-be-ja|Insecto himenóptero que vive en sociedad y produce la cera y la miel;;;
abejaruco|a-be-ja-ru-co|Nombre común de los miembros de una familia de pájaros cuya dieta está compuesta casi por completo de abejas y avispas;;;
abejaruco|a-be-ja-ru-co|Nombre común de un pájaro cuya dieta está compuesta casi por completo de abejas y avispas;;;
abejero|a-be-je-ro|Persona que tiene colmenas o cuida de ellas;;;
abejorreo|a-be-jo-rre-o|Zumbido de las abejas;;;
abejorro|a-be-jo-rro|Insecto himenóptero, velludo, con la trompa muy desarrollada y zumba mucho al volar;;;
abejuela|a-be-jue-la|Abeja pequeña;;;
abemolar|a-be-mo-lar|Suavizar, dulcificar la voz;;;
aberdeen|a-ber-de-en|(-Angus) Una de las principales razas de ganado para carne;;;
aberdeen|a-ber-de-en|(~ - Angus) Una de las principales razas de ganado para carne;;;
aberdeen|a-ber-de-en|(~-Angus) Una de las principales razas de ganado para carne;;;
Aberdeen|a-ber-de-en|(~-Angus) Una de las principales razas de ganado para carne;;;
aberrante|a-be-rran-te|Que se separa de la norma o regla general;;;
aberrar|a-be-rrar|Errar, equivocarse;;;
abertal|a-ber-tal|Campo rústico que no está cerrado de ninguna manera;;;
abertura|a-ber-tu-ra|Hueco practicado en una fachada, como una puerta, una ventana, etc.;;;
abertura|a-ber-tu-ra|Hueco practicado en una fachada, como una ventana, un balcón, etc.;;;
abetal|a-be-tal|Sitio poblado de abetos;;;
abetunado|a-be-tu-na-do|Parecido al betún;;;
abicharse|a-bi-char-se|Argent., Urug. Agusanarse la fruta;;;
abierto|a-bier-to|No cerrado;;;
abigarrar|a-bi-ga-rrar|Poner a una cosa varios colores combinados en desorden;;;
abigeato|a-bi-ge-a-to|Der. Hurto de ganado o bestias;;;
abigeo|a-bi-ge-o|El que hurta ganado o bestias;;;
abiólogo|a-bió-lo-go|Persona que se dedica al estudio de la vida inorgánica;;;
abipones|a-bi-po-nes|Pueblo indígena, ya extinguido, del Chaco argentino;;;
abiselar|a-bi-se-lar|Hacer biseles en un cristal, una moldura, etc.;;;
abisinia|a-bi-si-nia|Nombre con que antiguamente se conocía a Etiopía;;;
Abisinia|a-bi-si-nia|Nombre con que antiguamente se conocía a Etiopía;;;
abisinio|a-bi-si-nio|De Abisinia, actual Etiopía, nación del nordeste de África;;;
abismado|a-bis-ma-do|Ensimismado, reconcentrado;;;
abismal|a-bis-mal|Profundo, insondable, incomprensible;;;
abismo|a-bis-mo|Profundidad grande, imponente y peligrosa;;;
ablación|a-bla-ción|Med. Separación o extirpación de cualquier parte del cuerpo;;;
ablactado|a-blac-ta-do|Que se le ha incorporado leche;;;
ablactar|ab-lac-tar|Incorporar leche a una salsa o masa;;;
ablandar|a-blan-dar|Poner blanda una cosa;;;
